paper_id,title,authors,year,abstract,url,pdf_url,scholar_url,venue,keywords,citations,title_hash,doi,arxiv_id,s2_fields,source,created_at,updated_at
5582bebed97947a41e3ddd9bd1f284b73f1648c2,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,"Ramprasaath R. Selvaraju, Abhishek Das, Ramakrishna Vedantam, Michael Cogswell, Devi Parikh, Dhruv Batra",2016,"We propose a technique for producing ‘visual explanations’ for decisions from a large class of Convolutional Neural Network (CNN)-based models, making them more transparent and explainable. Our approach—Gradient-weighted Class Activation Mapping (Grad-CAM), uses the gradients of any target concept (say ‘dog’ in a classification network or a sequence of words in captioning network) flowing into the final convolutional layer to produce a coarse localization map highlighting the important regions in the image for predicting the concept. Unlike previous approaches, Grad-CAM is applicable to a wide variety of CNN model-families: (1) CNNs with fully-connected layers (e.g.VGG), (2) CNNs used for structured outputs (e.g.captioning), (3) CNNs used in tasks with multi-modal inputs (e.g.visual question answering) or reinforcement learning, all without architectural changes or re-training. We combine Grad-CAM with existing fine-grained visualizations to create a high-resolution class-discriminative visualization, Guided Grad-CAM, and apply it to image classification, image captioning, and visual question answering (VQA) models, including ResNet-based architectures. In the context of image classification models, our visualizations (a) lend insights into failure modes of these models (showing that seemingly unreasonable predictions have reasonable explanations), (b) outperform previous methods on the ILSVRC-15 weakly-supervised localization task, (c) are robust to adversarial perturbations, (d) are more faithful to the underlying model, and (e) help achieve model generalization by identifying dataset bias. For image captioning and VQA, our visualizations show that even non-attention based models learn to localize discriminative regions of input image. We devise a way to identify important neurons through Grad-CAM and combine it with neuron names (Bau et al. in Computer vision and pattern recognition, 2017) to provide textual explanations for model decisions. Finally, we design and conduct human studies to measure if Grad-CAM explanations help users establish appropriate trust in predictions from deep networks and show that Grad-CAM helps untrained users successfully discern a ‘stronger’ deep network from a ‘weaker’ one even when both make identical predictions. Our code is available at https://github.com/ramprs/grad-cam/, along with a demo on CloudCV (Agrawal et al., in: Mobile cloud visual media computing, pp 265–290. Springer, 2015) (http://gradcam.cloudcv.org) and a video at http://youtu.be/COjUB9Izk6E.",https://www.semanticscholar.org/paper/5582bebed97947a41e3ddd9bd1f284b73f1648c2,http://arxiv.org/pdf/1610.02391,https://www.semanticscholar.org/paper/5582bebed97947a41e3ddd9bd1f284b73f1648c2,International Journal of Computer Vision,"Computer Science, Computer Science",21893,a154d2934f1e991bfdf35d80d2033a86,10.1007/s11263-019-01228-7,1610.02391,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}]",semantic_scholar,2025-10-22 22:26:29.994902+00:00,2025-10-22 22:26:29.994902+00:00
7aa38b85fa8cba64d6a4010543f6695dbf5f1386,Towards Deep Learning Models Resistant to Adversarial Attacks,"A. Ma̧dry, Aleksandar Makelov, Ludwig Schmidt, Dimitris Tsipras, Adrian Vladu",2017,"Recent work has demonstrated that deep neural networks are vulnerable to adversarial examples---inputs that are almost indistinguishable from natural data and yet classified incorrectly by the network. In fact, some of the latest findings suggest that the existence of adversarial attacks may be an inherent weakness of deep learning models. To address this problem, we study the adversarial robustness of neural networks through the lens of robust optimization. This approach provides us with a broad and unifying view on much of the prior work on this topic. Its principled nature also enables us to identify methods for both training and attacking neural networks that are reliable and, in a certain sense, universal. In particular, they specify a concrete security guarantee that would protect against any adversary. These methods let us train networks with significantly improved resistance to a wide range of adversarial attacks. They also suggest the notion of security against a first-order adversary as a natural and broad security guarantee. We believe that robustness against such well-defined classes of adversaries is an important stepping stone towards fully resistant deep learning models. Code and pre-trained models are available at this https URL and this https URL.",https://www.semanticscholar.org/paper/7aa38b85fa8cba64d6a4010543f6695dbf5f1386,https://arxiv.org/pdf/1706.06083.pdf,https://www.semanticscholar.org/paper/7aa38b85fa8cba64d6a4010543f6695dbf5f1386,International Conference on Learning Representations,"Computer Science, Mathematics, Computer Science",12879,68f8d0aa3bcc3d6617c964b346907317,,1706.06083,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 'external', 'category': 'Mathematics'}, {'source': 's2-fos-model', 'category': 'Computer Science'}]",semantic_scholar,2025-10-22 22:26:29.994902+00:00,2025-10-22 22:26:29.994902+00:00
c780fb585f838c22f451906a4603414299fee434,Fostering implementation of health services research findings into practice: a consolidated framework for advancing implementation science,"L. Damschroder, D. Aron, Rosalind E. Keith, S. Kirsh, Jeffery A. Alexander, J. Lowery",2009,"BackgroundMany interventions found to be effective in health services research studies fail to translate into meaningful patient care outcomes across multiple contexts. Health services researchers recognize the need to evaluate not only summative outcomes but also formative outcomes to assess the extent to which implementation is effective in a specific setting, prolongs sustainability, and promotes dissemination into other settings. Many implementation theories have been published to help promote effective implementation. However, they overlap considerably in the constructs included in individual theories, and a comparison of theories reveals that each is missing important constructs included in other theories. In addition, terminology and definitions are not consistent across theories. We describe the Consolidated Framework For Implementation Research (CFIR) that offers an overarching typology to promote implementation theory development and verification about what works where and why across multiple contexts.MethodsWe used a snowball sampling approach to identify published theories that were evaluated to identify constructs based on strength of conceptual or empirical support for influence on implementation, consistency in definitions, alignment with our own findings, and potential for measurement. We combined constructs across published theories that had different labels but were redundant or overlapping in definition, and we parsed apart constructs that conflated underlying concepts.ResultsThe CFIR is composed of five major domains: intervention characteristics, outer setting, inner setting, characteristics of the individuals involved, and the process of implementation. Eight constructs were identified related to the intervention (e.g., evidence strength and quality), four constructs were identified related to outer setting (e.g., patient needs and resources), 12 constructs were identified related to inner setting (e.g., culture, leadership engagement), five constructs were identified related to individual characteristics, and eight constructs were identified related to process (e.g., plan, evaluate, and reflect). We present explicit definitions for each construct.ConclusionThe CFIR provides a pragmatic structure for approaching complex, interacting, multi-level, and transient states of constructs in the real world by embracing, consolidating, and unifying key constructs from published implementation theories. It can be used to guide formative evaluations and build the implementation knowledge base across multiple studies and settings.",https://www.semanticscholar.org/paper/c780fb585f838c22f451906a4603414299fee434,https://implementationscience.biomedcentral.com/counter/pdf/10.1186/1748-5908-4-50,https://www.semanticscholar.org/paper/c780fb585f838c22f451906a4603414299fee434,Implementation science : IS,"Medicine, Medicine",10582,af415d50a56ac7a09a27622554e30e18,10.1186/1748-5908-4-50,,"[{'source': 'external', 'category': 'Medicine'}, {'source': 's2-fos-model', 'category': 'Medicine'}]",semantic_scholar,2025-10-22 22:37:00.263161+00:00,2025-10-22 22:37:00.263161+00:00
4feef0fd284feb1233399b400eb897f59ec92755,mixup: Beyond Empirical Risk Minimization,"Hongyi Zhang, Moustapha Cissé, Yann Dauphin, David Lopez-Paz",2017,"Large deep neural networks are powerful, but exhibit undesirable behaviors such as memorization and sensitivity to adversarial examples. In this work, we propose mixup, a simple learning principle to alleviate these issues. In essence, mixup trains a neural network on convex combinations of pairs of examples and their labels. By doing so, mixup regularizes the neural network to favor simple linear behavior in-between training examples. Our experiments on the ImageNet-2012, CIFAR-10, CIFAR-100, Google commands and UCI datasets show that mixup improves the generalization of state-of-the-art neural network architectures. We also find that mixup reduces the memorization of corrupt labels, increases the robustness to adversarial examples, and stabilizes the training of generative adversarial networks.",https://www.semanticscholar.org/paper/4feef0fd284feb1233399b400eb897f59ec92755,https://arxiv.org/pdf/1710.09412.pdf,https://www.semanticscholar.org/paper/4feef0fd284feb1233399b400eb897f59ec92755,International Conference on Learning Representations,"Mathematics, Computer Science, Computer Science, Mathematics",10397,f66b05d5c7ca526dc637ba1c1104d534,,1710.09412,"[{'source': 'external', 'category': 'Mathematics'}, {'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Mathematics'}]",semantic_scholar,2025-10-22 22:26:29.994902+00:00,2025-10-22 22:26:29.994902+00:00
df40ce107a71b770c9d0354b78fdd8989da80d2f,Towards Evaluating the Robustness of Neural Networks,"Nicholas Carlini, D. Wagner",2016,"Neural networks provide state-of-the-art results for most machine learning tasks. Unfortunately, neural networks are vulnerable to adversarial examples: given an input x and any target classification t, it is possible to find a new input x' that is similar to x but classified as t. This makes it difficult to apply neural networks in security-critical areas. Defensive distillation is a recently proposed approach that can take an arbitrary neural network, and increase its robustness, reducing the success rate of current attacks' ability to find adversarial examples from 95% to 0.5%.In this paper, we demonstrate that defensive distillation does not significantly increase the robustness of neural networks by introducing three new attack algorithms that are successful on both distilled and undistilled neural networks with 100% probability. Our attacks are tailored to three distance metrics used previously in the literature, and when compared to previous adversarial example generation algorithms, our attacks are often much more effective (and never worse). Furthermore, we propose using high-confidence adversarial examples in a simple transferability test we show can also be used to break defensive distillation. We hope our attacks will be used as a benchmark in future defense attempts to create neural networks that resist adversarial examples.",https://www.semanticscholar.org/paper/df40ce107a71b770c9d0354b78fdd8989da80d2f,https://arxiv.org/pdf/1608.04644,https://www.semanticscholar.org/paper/df40ce107a71b770c9d0354b78fdd8989da80d2f,IEEE Symposium on Security and Privacy,"Computer Science, Computer Science",8941,218cbd0ddc0c07129ca8a6e57177fe24,10.1109/SP.2017.49,1608.04644,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}]",semantic_scholar,2025-10-22 22:26:29.994902+00:00,2025-10-22 22:26:29.994902+00:00
295065d942abca0711300b2b4c39829551060578,BERTScore: Evaluating Text Generation with BERT,"Tianyi Zhang, Varsha Kishore, Felix Wu, Kilian Q. Weinberger, Yoav Artzi",2019,"We propose BERTScore, an automatic evaluation metric for text generation. Analogously to common metrics, BERTScore computes a similarity score for each token in the candidate sentence with each token in the reference sentence. However, instead of exact matches, we compute token similarity using contextual embeddings. We evaluate using the outputs of 363 machine translation and image captioning systems. BERTScore correlates better with human judgments and provides stronger model selection performance than existing metrics. Finally, we use an adversarial paraphrase detection task to show that BERTScore is more robust to challenging examples when compared to existing metrics.",https://www.semanticscholar.org/paper/295065d942abca0711300b2b4c39829551060578,https://arxiv.org/pdf/1904.09675.pdf,https://www.semanticscholar.org/paper/295065d942abca0711300b2b4c39829551060578,International Conference on Learning Representations,"Computer Science, Computer Science",6689,a4a98bebeb03f54bc3c1dff786b5268d,,1904.09675,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}]",semantic_scholar,2025-10-22 22:26:29.994902+00:00,2025-10-22 22:26:29.994902+00:00
ddf303100649ad7c66d17119de7ac00b41e466d7,Accelerated Profile HMM Searches,S. Eddy,2011,"Profile hidden Markov models (profile HMMs) and probabilistic inference methods have made important contributions to the theory of sequence database homology search. However, practical use of profile HMM methods has been hindered by the computational expense of existing software implementations. Here I describe an acceleration heuristic for profile HMMs, the “multiple segment Viterbi” (MSV) algorithm. The MSV algorithm computes an optimal sum of multiple ungapped local alignment segments using a striped vector-parallel approach previously described for fast Smith/Waterman alignment. MSV scores follow the same statistical distribution as gapped optimal local alignment scores, allowing rapid evaluation of significance of an MSV score and thus facilitating its use as a heuristic filter. I also describe a 20-fold acceleration of the standard profile HMM Forward/Backward algorithms using a method I call “sparse rescaling”. These methods are assembled in a pipeline in which high-scoring MSV hits are passed on for reanalysis with the full HMM Forward/Backward algorithm. This accelerated pipeline is implemented in the freely available HMMER3 software package. Performance benchmarks show that the use of the heuristic MSV filter sacrifices negligible sensitivity compared to unaccelerated profile HMM searches. HMMER3 is substantially more sensitive and 100- to 1000-fold faster than HMMER2. HMMER3 is now about as fast as BLAST for protein searches.",https://www.semanticscholar.org/paper/ddf303100649ad7c66d17119de7ac00b41e466d7,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1002195&type=printable,https://www.semanticscholar.org/paper/ddf303100649ad7c66d17119de7ac00b41e466d7,PLoS Comput. Biol.,"Computer Science, Medicine, Computer Science, Biology",5535,fe8ce0b450c518888c6b2dfc1985a902,10.1371/journal.pcbi.1002195,,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 'external', 'category': 'Medicine'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Biology'}]",semantic_scholar,2025-10-22 22:37:00.263161+00:00,2025-10-22 22:37:00.263161+00:00
52693bcf4627bdbc31734e7f3dbcf5ea7eef4d35,DeepFool: A Simple and Accurate Method to Fool Deep Neural Networks,"Seyed-Mohsen Moosavi-Dezfooli, Alhussein Fawzi, P. Frossard",2015,"State-of-the-art deep neural networks have achieved impressive results on many image classification tasks. However, these same architectures have been shown to be unstable to small, well sought, perturbations of the images. Despite the importance of this phenomenon, no effective methods have been proposed to accurately compute the robustness of state-of-the-art deep classifiers to such perturbations on large-scale datasets. In this paper, we fill this gap and propose the DeepFool algorithm to efficiently compute perturbations that fool deep networks, and thus reliably quantify the robustness of these classifiers. Extensive experimental results show that our approach outperforms recent methods in the task of computing adversarial perturbations and making classifiers more robust.",https://www.semanticscholar.org/paper/52693bcf4627bdbc31734e7f3dbcf5ea7eef4d35,https://arxiv.org/pdf/1511.04599,https://www.semanticscholar.org/paper/52693bcf4627bdbc31734e7f3dbcf5ea7eef4d35,Computer Vision and Pattern Recognition,"Computer Science, Computer Science",5043,8b3eaa88c64f24ad127b8625716b15dd,10.1109/CVPR.2016.282,1511.04599,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}]",semantic_scholar,2025-10-22 22:26:29.994902+00:00,2025-10-22 22:26:29.994902+00:00
345afa0e85cb2f5cb438ae44027499ff2c392409,Adversarial Discriminative Domain Adaptation,"Eric Tzeng, Judy Hoffman, Kate Saenko, Trevor Darrell",2017,"Adversarial learning methods are a promising approach to training robust deep networks, and can generate complex samples across diverse domains. They can also improve recognition despite the presence of domain shift or dataset bias: recent adversarial approaches to unsupervised domain adaptation reduce the difference between the training and test domain distributions and thus improve generalization performance. However, while generative adversarial networks (GANs) show compelling visualizations, they are not optimal on discriminative tasks and can be limited to smaller shifts. On the other hand, discriminative approaches can handle larger domain shifts, but impose tied weights on the model and do not exploit a GAN-based loss. In this work, we first outline a novel generalized framework for adversarial adaptation, which subsumes recent state-of-the-art approaches as special cases, and use this generalized view to better relate prior approaches. We then propose a previously unexplored instance of our general framework which combines discriminative modeling, untied weight sharing, and a GAN loss, which we call Adversarial Discriminative Domain Adaptation (ADDA). We show that ADDA is more effective yet considerably simpler than competing domain-adversarial methods, and demonstrate the promise of our approach by exceeding state-of-the-art unsupervised adaptation results on standard domain adaptation tasks as well as a difficult cross-modality object classification task.",https://www.semanticscholar.org/paper/345afa0e85cb2f5cb438ae44027499ff2c392409,https://arxiv.org/pdf/1702.05464,https://www.semanticscholar.org/paper/345afa0e85cb2f5cb438ae44027499ff2c392409,Computer Vision and Pattern Recognition,"Computer Science, Computer Science",4821,170c9e352517135daa97bcf7ca1228de,10.1109/CVPR.2017.316,1702.05464,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}]",semantic_scholar,2025-10-22 22:26:29.994902+00:00,2025-10-22 22:26:29.994902+00:00
e93c1c323a3f2f001595d9279ea9b874406b7994,Planck2018 results,"Planck Collaboration N. Aghanim, Y. Akrami, M. Ashdown, J. Aumont, C. Baccigalupi, M. Ballardini, A. Banday, R. B. Barreiro, N. Bartolo, S. Basak, K. Benabed, J. Bernard, M. Bersanelli, P. Bielewicz, J. Bond, J. Borrill, F. Bouchet, F. Boulanger, M. Bucher, C. Burigana, E. Calabrese, J. Cardoso, J. Carron, A. Challinor, H. Chiang, L. Colombo, C. Combet, F. Couchot, B. Crill, F. Cuttaia, P. Bernardis, A. D. Rosa, G. Zotti, J. Delabrouille, J. Delouis, E. D. Valentino, J. Diego, O. Dor'e, M. Douspis, A. Ducout, X. Dupac, G. Efstathiou, F. Elsner, T. Ensslin, H. Eriksen, E. Falgarone, Y. Fantaye, F. Finelli, M. Frailis, A. Fraisse, E. Franceschi, A. Frolov, S. Galeotta, S. Galli, K. Ganga, R. G'enova-Santos, M. Gerbino, T. Ghosh, J. Gonz'alez-Nuevo, K. M. G'orski, S. Gratton, A. Gruppuso, J. Gudmundsson, Will Handley, F. Hansen, S. Henrot-Versill'e, D. Herranz, E. Hivon, Z. Huang, A. Jaffe, W. Jones, A. Karakci, E. Keihanen, R. Keskitalo, K. Kiiveri, J. Kim, T. Kisner, N. Krachmalnicoff, M. Kunz, H. Kurki-Suonio, G. Lagache, J. Lamarre, A. Lasenby, M. Lattanzi, C. Lawrence, F. Levrier, M. Liguori, P. Lilje, V. Lindholm, M. L'opez-Caniego, Y.-Z. Ma, J. Mac'ias-P'erez, G. Maggio, D. Maino, N. Mandolesi, A. Mangilli, P. Martin, E. Mart'inez-Gonz'alez, S. Matarrese, N. Mauri, J. McEwen, A. Melchiorri, A. Mennella, M. Migliaccio, M. Miville-Deschênes, D. Molinari, A. Moneti, L. Montier, G. Morgante, A. Moss, S. Mottet, P. Natoli, L. Pagano, D. Paoletti, B. Partridge, G. Patanchon, L. Patrizii, O. Perdereau, F. Perrotta, V. Pettorino, F. Piacentini, J. Puget, J. Rachen, M. Reinecke, M. Remazeilles, A. Renzi, G. Rocha, G. Roudier, L. Salvati, M. Sandri, M. Savelainen, D. Scott, C. Sirignano, G. Sirri, L. Spencer, R. Sunyaev, A.-S. Suur-Uski, J. Tauber, D. Tavagnacco, M. Tenti, L. Toffolatti, M. Tomasi, M. Tristram, T. Trombetti, J. Valiviita, F. Vansyngel, B. Tent, L. Vibert, P. Vielva, F. Villa, N. Vittorio, B. Wandelt, I. Wehus, A. Zonca",2018,"Observations of the submillimetre emission from Galactic dust, in both total intensityIand polarization, have received tremendous interest thanks to thePlanckfull-sky maps. In this paper we make use of such full-sky maps of dust polarized emission produced from the third public release ofPlanckdata. As the basis for expanding on astrophysical studies of the polarized thermal emission from Galactic dust, we present full-sky maps of the dust polarization fractionp, polarization angleψ, and dispersion function of polarization angles 𝒮. The joint distribution (one-point statistics) ofpandNHconfirms that the mean and maximum polarization fractions decrease with increasingNH. The uncertainty on the maximum observed polarization fraction,pmax= 22.0−1.4+3.5% at 353 GHz and 80′ resolution, is dominated by the uncertainty on the Galactic emission zero level in total intensity, in particular towards diffuse lines of sight at high Galactic latitudes. Furthermore, the inverse behaviour betweenpand 𝒮 found earlier is seen to be present at high latitudes. This follows the 𝒮 ∝ p−1relationship expected from models of the polarized sky (including numerical simulations of magnetohydrodynamical turbulence) that include effects from only the topology of the turbulent magnetic field, but otherwise have uniform alignment and dust properties. Thus, the statistical properties ofp,ψ, and 𝒮 for the most part reflect the structure of the Galactic magnetic field. Nevertheless, we search for potential signatures of varying grain alignment and dust properties. First, we analyse the product map 𝒮 × p, looking for residual trends. While the polarization fractionpdecreases by a factor of 3−4 betweenNH = 1020 cm−2andNH = 2 × 1022 cm−2, out of the Galactic plane, this product 𝒮 × ponly decreases by about 25%. Because 𝒮 is independent of the grain alignment efficiency, this demonstrates that the systematic decrease inpwithNHis determined mostly by the magnetic-field structure and not by a drop in grain alignment. This systematic trend is observed both in the diffuse interstellar medium (ISM) and in molecular clouds of the Gould Belt. Second, we look for a dependence of polarization properties on the dust temperature, as we would expect from the radiative alignment torque (RAT) theory. We find no systematic trend of 𝒮 × pwith the dust temperatureTd, whether in the diffuse ISM or in the molecular clouds of the Gould Belt. In the diffuse ISM, lines of sight with high polarization fractionpand low polarization angle dispersion 𝒮 tend, on the contrary, to have colder dust than lines of sight with lowpand high 𝒮. We also compare thePlanckthermal dust polarization with starlight polarization data in the visible at high Galactic latitudes. The agreement in polarization angles is remarkable, and is consistent with what we expect from the noise and the observed dispersion of polarization angles in the visible on the scale of thePlanckbeam. The two polarization emission-to-extinction ratios,RP/pandRS/V, which primarily characterize dust optical properties, have only a weak dependence on the column density, and converge towards the values previously determined for translucent lines of sight. We also determine an upper limit for the polarization fraction in extinction,pV/E(B − V), of 13% at high Galactic latitude, compatible with the polarization fractionp ≈ 20% observed at 353 GHz. Taken together, these results provide strong constraints for models of Galactic dust in diffuse gas.",https://www.semanticscholar.org/paper/e93c1c323a3f2f001595d9279ea9b874406b7994,https://www.aanda.org/articles/aa/pdf/2020/09/aa33885-18.pdf,https://www.semanticscholar.org/paper/e93c1c323a3f2f001595d9279ea9b874406b7994,Astronomy & Astrophysics,"Physics, Physics",4407,eddb774ca3a987cc962a9d14ee25bcab,10.1051/0004-6361/201833885,1807.06212,"[{'source': 'external', 'category': 'Physics'}, {'source': 's2-fos-model', 'category': 'Physics'}]",semantic_scholar,2025-10-22 22:37:00.263161+00:00,2025-10-22 22:37:00.263161+00:00
