paper_id,title,authors,year,abstract,url,pdf_url,scholar_url,venue,keywords,citations,title_hash,doi,arxiv_id,s2_fields,created_at,updated_at
210b0a3d76e93079cc51b03c4115fde545eea966,GPQA: A Graduate-Level Google-Proof Q&A Benchmark,"David Rein, Betty Li Hou, Asa Cooper Stickland, Jackson Petty, Richard Yuanzhe Pang, Julien Dirani, Julian Michael, Samuel R. Bowman",2023,"We present GPQA, a challenging dataset of 448 multiple-choice questions written by domain experts in biology, physics, and chemistry. We ensure that the questions are high-quality and extremely difficult: experts who have or are pursuing PhDs in the corresponding domains reach 65% accuracy (74% when discounting clear mistakes the experts identified in retrospect), while highly skilled non-expert validators only reach 34% accuracy, despite spending on average over 30 minutes with unrestricted access to the web (i.e., the questions are""Google-proof""). The questions are also difficult for state-of-the-art AI systems, with our strongest GPT-4 based baseline achieving 39% accuracy. If we are to use future AI systems to help us answer very hard questions, for example, when developing new scientific knowledge, we need to develop scalable oversight methods that enable humans to supervise their outputs, which may be difficult even if the supervisors are themselves skilled and knowledgeable. The difficulty of GPQA both for skilled non-experts and frontier AI systems should enable realistic scalable oversight experiments, which we hope can help devise ways for human experts to reliably get truthful information from AI systems that surpass human capabilities.",https://www.semanticscholar.org/paper/210b0a3d76e93079cc51b03c4115fde545eea966,https://arxiv.org/pdf/2311.12022.pdf,https://www.semanticscholar.org/paper/210b0a3d76e93079cc51b03c4115fde545eea966,arXiv.org,"Computer Science, Biology, Physics, Computer Science, Chemistry",1065,d2390e0e97b7199093a42b27a5cf32bc,,2311.12022,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Biology'}, {'source': 's2-fos-model', 'category': 'Physics'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Chemistry'}]",2025-09-30 00:46:58.124675+00:00,2025-09-30 00:46:58.124675+00:00
6edd112383ad494f5f2eba72b6f4ffae122ce61f,Interpretability in the Wild: a Circuit for Indirect Object Identification in GPT-2 small,"Kevin Wang, Alexandre Variengien, Arthur Conmy, Buck Shlegeris, J. Steinhardt",2022,"Research in mechanistic interpretability seeks to explain behaviors of machine learning models in terms of their internal components. However, most previous work either focuses on simple behaviors in small models, or describes complicated behaviors in larger models with broad strokes. In this work, we bridge this gap by presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI). Our explanation encompasses 26 attention heads grouped into 7 main classes, which we discovered using a combination of interpretability approaches relying on causal interventions. To our knowledge, this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior""in the wild""in a language model. We evaluate the reliability of our explanation using three quantitative criteria--faithfulness, completeness and minimality. Though these criteria support our explanation, they also point to remaining gaps in our understanding. Our work provides evidence that a mechanistic understanding of large ML models is feasible, opening opportunities to scale our understanding to both larger models and more complex tasks.",https://www.semanticscholar.org/paper/6edd112383ad494f5f2eba72b6f4ffae122ce61f,https://arxiv.org/pdf/2211.00593,https://www.semanticscholar.org/paper/6edd112383ad494f5f2eba72b6f4ffae122ce61f,International Conference on Learning Representations,"Computer Science, Computer Science",644,1ff47a5be9a68e64e23ad2359d220370,10.48550/arXiv.2211.00593,2211.00593,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}]",2025-09-29 20:01:28.298552+00:00,2025-09-29 20:02:03.480569+00:00
0893549771094fac547432cb4f84e9605c911a86,The imperative for regulatory oversight of large language models (or generative AI) in healthcare,"B. Meskó, E. Topol",2023,"The rapid advancements in artificial intelligence (AI) have led to the development of sophisticated large language models (LLMs) such as GPT-4 and Bard. The potential implementation of LLMs in healthcare settings has already garnered considerable attention because of their diverse applications that include facilitating clinical documentation, obtaining insurance pre-authorization, summarizing research papers, or working as a chatbot to answer questions for patients about their specific data and concerns. While offering transformative potential, LLMs warrant a very cautious approach since these models are trained differently from AI-based medical technologies that are regulated already, especially within the critical context of caring for patients. The newest version, GPT-4, that was released in March, 2023, brings the potentials of this technology to support multiple medical tasks; and risks from mishandling results it provides to varying reliability to a new level. Besides being an advanced LLM, it will be able to read texts on images and analyze the context of those images. The regulation of GPT-4 and generative AI in medicine and healthcare without damaging their exciting and transformative potential is a timely and critical challenge to ensure safety, maintain ethical standards, and protect patient privacy. We argue that regulatory oversight should assure medical professionals and patients can use LLMs without causing harm or compromising their data or privacy. This paper summarizes our practical recommendations for what we can expect from regulators to bring this vision to reality.",https://www.semanticscholar.org/paper/0893549771094fac547432cb4f84e9605c911a86,https://www.nature.com/articles/s41746-023-00873-0.pdf,https://www.semanticscholar.org/paper/0893549771094fac547432cb4f84e9605c911a86,npj Digit. Medicine,"Computer Science, Medicine, Medicine, Computer Science, Law",627,920cc7dbbd6a0bb608e11b65097d69ef,10.1038/s41746-023-00873-0,,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 'external', 'category': 'Medicine'}, {'source': 's2-fos-model', 'category': 'Medicine'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Law'}]",2025-09-30 00:46:58.124675+00:00,2025-09-30 00:46:58.124675+00:00
f680d47a51a0e470fcb228bf0110c026535ead1b,Progress measures for grokking via mechanistic interpretability,"Neel Nanda, Lawrence Chan, Tom Lieberum, Jess Smith, J. Steinhardt",2023,"Neural networks often exhibit emergent behavior, where qualitatively new capabilities arise from scaling up the amount of parameters, training data, or training steps. One approach to understanding emergence is to find continuous \textit{progress measures} that underlie the seemingly discontinuous qualitative changes. We argue that progress measures can be found via mechanistic interpretability: reverse-engineering learned behaviors into their individual components. As a case study, we investigate the recently-discovered phenomenon of ``grokking'' exhibited by small transformers trained on modular addition tasks. We fully reverse engineer the algorithm learned by these networks, which uses discrete Fourier transforms and trigonometric identities to convert addition to rotation about a circle. We confirm the algorithm by analyzing the activations and weights and by performing ablations in Fourier space. Based on this understanding, we define progress measures that allow us to study the dynamics of training and split training into three continuous phases: memorization, circuit formation, and cleanup. Our results show that grokking, rather than being a sudden shift, arises from the gradual amplification of structured mechanisms encoded in the weights, followed by the later removal of memorizing components.",https://www.semanticscholar.org/paper/f680d47a51a0e470fcb228bf0110c026535ead1b,http://arxiv.org/pdf/2301.05217,https://www.semanticscholar.org/paper/f680d47a51a0e470fcb228bf0110c026535ead1b,International Conference on Learning Representations,"Computer Science, Computer Science",517,953089e9556a8e0b37293683f8ff8807,10.48550/arXiv.2301.05217,2301.05217,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}]",2025-09-29 20:01:13.784216+00:00,2025-09-29 20:01:43.521903+00:00
eefbd8b384a58f464827b19e30a6920ba976def9,Towards Automated Circuit Discovery for Mechanistic Interpretability,"Arthur Conmy, Augustine N. Mavor-Parker, Aengus Lynch, Stefan Heimersheim, Adrià Garriga-Alonso",2023,"Through considerable effort and intuition, several recent works have reverse-engineered nontrivial behaviors of transformer models. This paper systematizes the mechanistic interpretability process they followed. First, researchers choose a metric and dataset that elicit the desired model behavior. Then, they apply activation patching to find which abstract neural network units are involved in the behavior. By varying the dataset, metric, and units under investigation, researchers can understand the functionality of each component. We automate one of the process' steps: to identify the circuit that implements the specified behavior in the model's computational graph. We propose several algorithms and reproduce previous interpretability results to validate them. For example, the ACDC algorithm rediscovered 5/5 of the component types in a circuit in GPT-2 Small that computes the Greater-Than operation. ACDC selected 68 of the 32,000 edges in GPT-2 Small, all of which were manually found by previous work. Our code is available at https://github.com/ArthurConmy/Automatic-Circuit-Discovery.",https://www.semanticscholar.org/paper/eefbd8b384a58f464827b19e30a6920ba976def9,https://arxiv.org/pdf/2304.14997,https://www.semanticscholar.org/paper/eefbd8b384a58f464827b19e30a6920ba976def9,Neural Information Processing Systems,"Computer Science, Computer Science, Engineering",356,a97a69c6234d51eeafeb50c9077b71ba,10.48550/arXiv.2304.14997,2304.14997,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Engineering'}]",2025-09-29 20:01:14.252982+00:00,2025-09-29 20:01:44.864490+00:00
3d23699f2123dc6dbad841c97761cda832432b02,Reconstructing organisms in silico: genome-scale models and their emerging applications,"X. Fang, C. Lloyd, B. Palsson",2020,,https://www.semanticscholar.org/paper/3d23699f2123dc6dbad841c97761cda832432b02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7981288,https://www.semanticscholar.org/paper/3d23699f2123dc6dbad841c97761cda832432b02,Nature Reviews Microbiology,"Biology, Medicine, Computer Science, Biology",208,514f21d4b7968a9eb4f2c5000b750a63,10.1038/s41579-020-00440-4,,"[{'source': 'external', 'category': 'Biology'}, {'source': 'external', 'category': 'Medicine'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Biology'}]",2025-09-30 00:46:26.107098+00:00,2025-09-30 00:46:26.107098+00:00
8b750488d139f9beba0815ff8f46ebe15ebb3e58,Mechanistic Interpretability for AI Safety - A Review,"Leonard Bereska, E. Gavves",2024,"Understanding AI systems' inner workings is critical for ensuring value alignment and safety. This review explores mechanistic interpretability: reverse engineering the computational mechanisms and representations learned by neural networks into human-understandable algorithms and concepts to provide a granular, causal understanding. We establish foundational concepts such as features encoding knowledge within neural activations and hypotheses about their representation and computation. We survey methodologies for causally dissecting model behaviors and assess the relevance of mechanistic interpretability to AI safety. We examine benefits in understanding, control, alignment, and risks such as capability gains and dual-use concerns. We investigate challenges surrounding scalability, automation, and comprehensive interpretation. We advocate for clarifying concepts, setting standards, and scaling techniques to handle complex models and behaviors and expand to domains such as vision and reinforcement learning. Mechanistic interpretability could help prevent catastrophic outcomes as AI systems become more powerful and inscrutable.",https://www.semanticscholar.org/paper/8b750488d139f9beba0815ff8f46ebe15ebb3e58,https://arxiv.org/pdf/2404.14082.pdf,https://www.semanticscholar.org/paper/8b750488d139f9beba0815ff8f46ebe15ebb3e58,Trans. Mach. Learn. Res.,"Computer Science, Computer Science, Engineering",201,41b189124d10eb4237a0505320669e26,10.48550/arXiv.2404.14082,2404.14082,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Engineering'}]",2025-09-29 20:01:14.024076+00:00,2025-09-29 20:01:43.296227+00:00
9160756d319bbe476a0e8b24ab85346c985d3c3f,Graph Signal Processing for Machine Learning: A Review and New Perspectives,"Xiaowen Dong, D. Thanou, L. Toni, M. Bronstein, P. Frossard",2020,"The effective representation, processing, analysis, and visualization of large-scale structured data, especially those related to complex domains, such as networks and graphs, are one of the key questions in modern machine learning. Graph signal processing (GSP), a vibrant branch of signal processing models and algorithms that aims at handling data supported on graphs, opens new paths of research to address this challenge. In this article, we review a few important contributions made by GSP concepts and tools, such as graph filters and transforms, to the development of novel machine learning algorithms. In particular, our discussion focuses on the following three aspects: exploiting data structure and relational priors, improving data and computational efficiency, and enhancing model interpretability. Furthermore, we provide new perspectives on the future development of GSP techniques that may serve as a bridge between applied mathematics and signal processing on one side and machine learning and network science on the other. Cross-fertilization across these different disciplines may help unlock the numerous challenges of complex data analysis in the modern age.",https://www.semanticscholar.org/paper/9160756d319bbe476a0e8b24ab85346c985d3c3f,https://arxiv.org/pdf/2007.16061,https://www.semanticscholar.org/paper/9160756d319bbe476a0e8b24ab85346c985d3c3f,IEEE Signal Processing Magazine,"Computer Science, Engineering, Mathematics, Computer Science, Mathematics",181,0acf21e0b3a2becdf95f121fd31650e7,10.1109/MSP.2020.3014591,2007.16061,"[{'source': 'external', 'category': 'Computer Science'}, {'source': 'external', 'category': 'Engineering'}, {'source': 'external', 'category': 'Mathematics'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Mathematics'}]",2025-09-30 00:46:06.117109+00:00,2025-09-30 00:46:06.117109+00:00
dd07477d365d2f31689b4a2f99215b5da340d4bc,"Brain network communication: concepts, models and applications","Caio Seguin, O. Sporns, A. Zalesky",2023,,https://www.semanticscholar.org/paper/dd07477d365d2f31689b4a2f99215b5da340d4bc,,https://www.semanticscholar.org/paper/dd07477d365d2f31689b4a2f99215b5da340d4bc,Nature Reviews Neuroscience,"Medicine, Computer Science, Mathematics, Biology",154,b5fd429038cef4c88eb4686f716576bc,10.1038/s41583-023-00718-5,,"[{'source': 'external', 'category': 'Medicine'}, {'source': 's2-fos-model', 'category': 'Computer Science'}, {'source': 's2-fos-model', 'category': 'Mathematics'}, {'source': 's2-fos-model', 'category': 'Biology'}]",2025-09-30 00:45:52.493537+00:00,2025-09-30 00:45:52.493537+00:00
226c81c22846ba91ba60c3d83e5f7c191bf2e4d4,Connectomic comparison of mouse and human cortex,"S. Loomba, Jakob Straehle, V. Gangadharan, Natalie Heike, Abdelrahman Khalifa, Alessandro Motta, Niansheng Ju, Meike Sievers, J. Gempt, H. S. Meyer, M. Helmstaedter",2022,"The human cerebral cortex houses 1000 times more neurons than that of the cerebral cortex of a mouse, but the possible differences in synaptic circuits between these species are still poorly understood. We used three-dimensional electron microscopy of mouse, macaque, and human cortical samples to study their cell type composition and synaptic circuit architecture. The 2.5-fold increase in interneurons in humans compared with mice was compensated by a change in axonal connection probabilities and therefore did not yield a commensurate increase in inhibitory-versus-excitatory synaptic input balance on human pyramidal cells. Rather, increased inhibition created an expanded interneuron-to-interneuron network, driven by an expansion of interneuron-targeting interneuron types and an increase in their synaptic selectivity for interneuron innervation. These constitute key neuronal network alterations in the human cortex. Description The difference between human and mouse Over the past few decades, the mouse has become a model organism for brain research. Because of the close evolutionary similarity of ion channels, synaptic receptors, and other key molecular constituents of the brain to that of humans, corresponding similarity has been assumed for cortical neuronal circuits. However, comparative synaptic-resolution connectomic studies are required to determine the degree to which circuit structure has evolved between species. Using three-dimensional electron microscopy, Loomba et al. compared mouse and human/macaque cortex synaptic connectivity. Although human cells are much larger compared with mouse neurons and are more numerous, on average, they do not receive more synapses. And, even though there are three times more interneurons in the human cortex than in the mouse, the excitation-to-inhibition ratio is similar between the species. —PRS Three-dimensional electron microscopy of mouse, macaque, and human brain samples elucidates cell type composition and synaptic circuit architecture. INTRODUCTION The analysis of the human brain is a central goal of neuroscience, but for methodological reasons, research has focused on model organisms, the mouse in particular. Because substantial homology was found at the level of ion channels, transcriptional programs, and basic neuronal types, a strong similarity of neuronal circuits across species has also been assumed. However, a rigorous test of the configuration of local neuronal circuitry in mouse versus human—in particular, in the gray matter of the cerebral cortex—is missing. The about 1000-fold increase in number of neurons is the most obvious evolutionary change of neuronal network properties from mouse to human. Whether the structure of the local cortical circuitry has changed as well is, however, unclear. Recent data from transcriptomic analyses has indicated an increase in the proportion of inhibitory interneurons from mouse to human. But what the effect of such a change is on the circuit configurations found in the human cerebral cortex is not known. This is, however, of particular interest also to the study of neuropsychiatric disorders because in these, the alteration of inhibitory-to-excitatory synaptic balance has been identified as one possible mechanistic underpinning. RATIONALE We used recent methodological improvements in connectomics to acquire data from one macaque and two human individuals, using biopsies of the temporal, parietal, and frontal cortex. Human tissue was obtained from neurosurgical interventions related to tumor removal, in which access path tissue was harvested that was not primarily affected by the underlying disease. A key concern in the analysis of human patient tissue has been the relation to epilepsy surgery, when the underlying disease has required often year-long treatment with pharmaceuticals, plausibly altering synaptic connectivity. Therefore, the analysis of nonepileptic surgery tissue seemed of particular importance. We also included data from one macaque individual, who was not known to have any brain-related pathology. RESULTS We acquired three-dimensional electron microscopy data from temporal and frontal cortex of human and temporal and parietal cortex of macaque. From these, we obtained connectomic reconstructions and compared these with five connectomes from mouse cortex. On the basis of these data, we were able to determine the effect of the about 2.5-fold expansion of the interneuron pool in macaque and human cortex compared with that of mouse. Contrary to expectation, the inhibitory-to-excitatory synaptic balance on pyramidal neurons in macaque and human cortex was not substantially altered. Rather, the interneuron pool was selectively expanded for bipolar-type interneurons, which prefer the innervation of other interneurons, and which further increased their preference for interneuron innervation from mouse to human. These changes were each multifold, yielding in effect an about 10-fold expanded interneuron-to-interneuron network in the human cortex that is only sparsely present in mouse. The total amount of synaptic input to pyramidal neurons, however, did not change according to the threefold thickening of the cortex; rather, a modest increase from about 12,000 synaptic inputs in mouse to about 15,000 in human was found. CONCLUSION The principal cells of the cerebral cortex, pyramidal neurons, maintain almost constant inhibitory-to-excitatory input balance and total synaptic input across 100 million years of evolutionary divergence, which is particularly noteworthy with the concomitant 1000-fold expansion of the neuronal network size and the 2.5-fold increase of inhibitory interneurons from mouse to human. Rather, the key network change from mouse to human is an expansion of almost an order of magnitude of an interneuron-to-interneuron network that is virtually absent in mouse but constitutes a substantial part of the human cortical network. Whether this new network is primarily created through the expansion of existing neuronal types, or is related to the creation of new interneuron subtypes, requires further study. The discovery of this network component in human cortex encourages detailed analysis of its function in health and disease. Connectomic screening across mammalian species: Comparison of five mouse, two macaque, and two human connectomic datasets from the cerebral cortex. (A) Automated reconstructions of all neurons with their cell bodies in the volume shown, using random colors. The analyzed connectomes comprised a total of ~1.6 million synapses. Arrows indicate evolutionary divergence: the last common ancestor between human and mouse, approximately 100 million years ago, and the last common ancestor between human and macaque, about 20 million years ago. (B) Illustration of the about 10-fold expansion of the interneuron-to-interneuron network from mouse to human.",https://www.semanticscholar.org/paper/226c81c22846ba91ba60c3d83e5f7c191bf2e4d4,https://www.science.org/cms/asset/e9769bff-fc04-4e2d-bbc3-d187a367cff3/science.abo0924.v1.pdf,https://www.semanticscholar.org/paper/226c81c22846ba91ba60c3d83e5f7c191bf2e4d4,Science,"Medicine, Biology",152,f3fd75b91aee1e3f769322fc9abc6604,10.1126/science.abo0924,,"[{'source': 'external', 'category': 'Medicine'}, {'source': 's2-fos-model', 'category': 'Biology'}]",2025-09-30 00:45:52.493537+00:00,2025-09-30 00:45:52.493537+00:00
