venue,ranking,title,authors,year,citations,url,pdf_url,keywords
2015 IEEE International Conference on Information and Automation,1,Observable degree analysis for inertial navigation in-flight alignment based on information theory,"Qiang Fang, Huangyong Zhu, Dai-Bing Zhang, Xinsheng Huang",2015,1,https://www.semanticscholar.org/paper/01a9aec5b165bf97bebc512118ed3a0390557eaa,,"Mathematics, Computer Science, Computer Science, Engineering, Physics"
2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,1,Scalable Formal Verification of UML Models,Mohammad Mehdi Pourhashem Kallehbasti,2015,3,https://www.semanticscholar.org/paper/49eeec80307ed8882160c8f15d9289a8ffbc9292,,"Computer Science, Computer Science"
2015 International Conference on Computer and Information Engineering (ICCIE),1,Cooperative game theory based load balancing in long term evolution network,"Subarno Saha, Rajkin Hossain, Md Muhidul Islam Khan",2015,3,https://www.semanticscholar.org/paper/e0a9ed24abf118e9181aeb7719217a9d04a0b9f3,http://dspace.bracu.ac.bd/xmlui/bitstream/10361/4901/1/11101064.pdf,"Computer Science, Computer Science, Engineering"
2016 IEEE Symposium on Sensorless Control for Electrical Drives (SLED),1,A novel strategy using H infinity theory with optimum weight selection for the robust control of sensorless brushless DC motor,"K. Vinida, M. Chacko",2016,15,https://www.semanticscholar.org/paper/f4652fdce58df7748e0a73bb76774acd69453adc,,"Engineering, Engineering"
2017 IEEE 42nd Conference on Local Computer Networks Workshops (LCN Workshops),1,AZSPM: Autonomic Zero-Knowledge Security Provisioning Model for Medical Control Systems in Fog Computing Environments,"J. Chaudhry, K. Saleem, R. Islam, A. Selamat, Mudassar Ahmad, C. Valli",2017,8,https://www.semanticscholar.org/paper/11d367868f13b44288a320f0aed9c30fc8ef75ea,,"Computer Science, Computer Science, Engineering, Medicine"
2017 IEEE/ACM 4th International Workshop on CrowdSourcing in Software Engineering (CSI-SE),1,Improving Model Inspection with Crowdsourcing,"D. Winkler, M. Sabou, S. Petrovic, Gisele Carneiro, Marcos Kalinowski, S. Biffl",2017,13,https://www.semanticscholar.org/paper/7cedbf612ac8b6b2663b8f9e714525b997ae9e36,,"Computer Science, Engineering, Computer Science"
2018 14th International Wireless Communications & Mobile Computing Conference (IWCMC),1,Optimizing communication costs based on novel cooperative localization techniques using coalitional game theory in wireless networks,"Kaouther Hedhly, M. Laaraiedh, F. Abdelkefi, M. Siala",2018,4,https://www.semanticscholar.org/paper/64b0a47ddbac2f96e2b1e025c83999b5dcd836a8,,"Computer Science, Computer Science, Engineering"
2018 IEEE Applied Signal Processing Conference (ASPCON),1,Robust Control of Buck Converter using H-infinity Control Algorithm,"S. Mandal, Debarchita Mishra",2018,10,https://www.semanticscholar.org/paper/11b654cfffd93fab386082435048c1720603472b,,"Mathematics, Engineering"
2018 IEEE Intelligent Vehicles Symposium (IV),1,Improved Robustness and Safety for Autonomous Vehicle Control with Adversarial Reinforcement Learning,"Xiaobai Ma, K. Driggs-Campbell, Mykel J. Kochenderfer",2018,49,https://www.semanticscholar.org/paper/d13ebe931948711239d2eea8608a0c2e6e3993d1,http://arxiv.org/pdf/1903.03642,"Computer Science, Mathematics, Engineering, Computer Science"
2018 IEEE International Conference of Safety Produce Informatization (IICSPI),1,A Bibliometric Analysis on Face Recognition Technology Research,"Junfeng Yu, Yanqing Zhao, Shiwei Zhu, Aiping Wang, Yan Wang",2018,1,https://www.semanticscholar.org/paper/c30ca3bf9be4e15e9f1beb2b47c5a84453257d10,,Computer Science
2018 IEEE International Conference on Cloud Engineering (IC2E),1,Toward Transparent Data Management in Multi-Layer Storage Hierarchy of HPC Systems,"Bharti Wadhwa, S. Byna, A. Butt",2018,7,https://www.semanticscholar.org/paper/2963714ca19ec643811f522443ec9f33af1c0c97,https://escholarship.org/content/qt7mb714r4/qt7mb714r4.pdf,"Computer Science, Computer Science, Engineering, Environmental Science"
2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,1,Boosting Adversarial Attacks with Momentum,"Yinpeng Dong, Fangzhou Liao, Tianyu Pang, Hang Su, Jun Zhu, Xiaolin Hu, Jianguo Li",2017,2821,https://www.semanticscholar.org/paper/8e37a3b227b68953f8067215828dc8b8714cb21b,https://arxiv.org/pdf/1710.06081,"Computer Science, Computer Science"
2019 2nd International Conference of the IEEE Nigeria Computer Chapter (NigeriaComputConf),1,Robust H-Infinity Control for Magnetic Levitation System,"Ahmad Abubakar, I. Dahiru, S. H. Sulaiman, A. Kunya",2019,7,https://www.semanticscholar.org/paper/41aecff482640854a3fa1a581e01e83e9c8a3907,,"Computer Science, Engineering, Physics"
2019 2nd International Conference on Artificial Intelligence and Big Data (ICAIBD),1,Identifying Malicious Players in GWAP-based Disaster Monitoring Crowdsourcing System*,"Changkun Ou, Yifei Zhan, Yaxi Chen",2019,2,https://www.semanticscholar.org/paper/30e7c57ca682bcc793b0bed2196c8a7ecb56cab9,https://arxiv.org/pdf/1910.01459,"Computer Science, Computer Science, Environmental Science"
2019 IEEE 16th International Conference on Mobile Ad Hoc and Sensor Systems Workshops (MASSW),1,The Adversarial Attacks Threats on Computer Vision: A Survey,"Yiyun Zhou, Meng Han, Liyuan Liu, J. He, Xi Gao",2019,18,https://www.semanticscholar.org/paper/24c294b812871f8af5af83a73e3e544bae7570ed,,"Computer Science, Computer Science"
2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),1,ERBFT: Efficient and Robust Byzantine Fault Tolerance,"Yingyao Rong, Jingjing Zhang, Jing Bian, Weigang Wu",2019,6,https://www.semanticscholar.org/paper/5e8b4c0ffca6434ee07abde3e65bf21b7323a3dd,,"Computer Science, Computer Science"
2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),2,Distributed Differentially Private Matrix Factorization Based on ADMM,"Erkang Xue, Ruixin Guo, Feng Zhang, Lizhe Wang, Xiaohan Zhang, Guangzhi Qu",2019,3,https://www.semanticscholar.org/paper/180670204a3e234d3553e704153eaeaca5ee30fb,,"Computer Science, Computer Science"
"2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)",1,High Performance and Scalable Byzantine Fault Tolerance,"Yanjun Jiang, Zhuang Lian",2019,26,https://www.semanticscholar.org/paper/08d47bd1e3f7ea49fe59a9e7b9b6ac12552811f1,,"Computer Science, Computer Science"
2019 IEEE International Conference on Advanced Trends in Information Theory (ATIT),1,Increasing the fault tolerance of distributed systems for the Hyper de Bruijn topology with excess code,"H. Loutskii, A. Volokyta, P. Rehida, O. Honcharenko, Bohdan Ivanishchev, A. Kaplunov",2019,3,https://www.semanticscholar.org/paper/5c1d232e0604efa5da23dc5e5593f1434ba04de2,,"Computer Science, Computer Science, Engineering"
"2019 IEEE International Conference on Smart Instrumentation, Measurement and Application (ICSIMA)",1,Non-Cooperative Game Theory Approach for Cognitive Cooperative Communication in WBAN,"D. A. Hammood, H. Rahim, A. Alkhayyat, R. Ahmad, M. Jusoh, Q. Abbasi",2019,4,https://www.semanticscholar.org/paper/597d7cc2004408991cf8b57fc4987526a85581d3,,"Computer Science, Computer Science, Engineering"
"2019 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",1,"Fast, Dynamic and Robust Byzantine Fault Tolerance Protocol for Consortium Blockchain","Anping Song, Jing Wang, Wenjing Yu, Ying Dai, Hongtao Zhu",2019,6,https://www.semanticscholar.org/paper/d441d8fd4c404d1ec64374793fc4e448f52b18c6,,"Computer Science, Computer Science"
"2019 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",2,Formal Modeling and Verification of Scalable Process-Aware Distributed IoT Applications,"Rakesh Jain, Kais Klai, S. Tata",2019,1,https://www.semanticscholar.org/paper/e844babc3f6ed5123d9ee2fc63cd9995f4f077c9,,"Computer Science, Computer Science, Engineering, Environmental Science"
